SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
s081	anther	W22		1	m21	FALSE	3665592	51
s082	anther	W22		1	m21	FALSE	21419036	51
s083	anther	W22		2	m21	FALSE	4189292	51
s084	anther	W22		2	m21	FALSE	24075500	51
s085	ear	W22		1	m22	FALSE	3767405	51
s086	ear	W22		1	m22	FALSE	21753649	51
s087	ear	W22		2	m22	FALSE	4881861	51
s088	ear	W22		2	m22	FALSE	28661586	51
s089	embryo	W22		1	m23	FALSE	4262716	51
s090	embryo	W22		1	m23	FALSE	25159396	51
s091	embryo	W22		2	m23	FALSE	4020421	51
s092	embryo	W22		2	m23	FALSE	23065135	51
s093	endosperm	W22		1	m24	FALSE	4088372	51
s094	endosperm	W22		1	m24	FALSE	24261605	51
s095	endosperm	W22		2	m24	FALSE	5191841	51
s096	endosperm	W22		2	m24	FALSE	30619776	51
s097	internode	W22		1	m25	FALSE	4145705	51
s098	internode	W22		1	m25	FALSE	24495440	51
s099	internode	W22		2	m25	FALSE	4641563	51
s100	internode	W22		2	m25	FALSE	27511683	51
s101	leaf10	W22		1	m26	FALSE	4616009	51
s102	leaf10	W22		1	m26	FALSE	27094268	51
s103	leaf10	W22		2	m26	FALSE	4524990	51
s104	leaf10	W22		2	m26	FALSE	26213430	51
s105	leaf30	W22		1	m27	FALSE	3994353	51
s106	leaf30	W22		1	m27	FALSE	23629334	51
s107	leaf30	W22		2	m27	FALSE	4493215	51
s108	leaf30	W22		2	m27	FALSE	26256581	51
s109	root	W22		1	m28	FALSE	4736889	51
s110	root	W22		1	m28	FALSE	27836197	51
s111	root	W22		2	m28	FALSE	4854202	51
s112	root	W22		2	m28	FALSE	28267291	51
s113	shoot	W22		1	m29	FALSE	4206469	51
s114	shoot	W22		1	m29	FALSE	24808098	51
s115	shoot	W22		2	m29	FALSE	4252790	51
s116	shoot	W22		2	m29	FALSE	24496479	51
s117	tassel	W22		1	m30	FALSE	4384598	51
s118	tassel	W22		1	m30	FALSE	26117314	51
s119	tassel	W22		2	m30	FALSE	4526650	51
s120	tassel	W22		2	m30	FALSE	26055559	51
